id,constructorId,name,fullName
leyton-house-cg901,leyton-house,CG901,Leyton House CG901
spyker-f8-vii,spyker,F8-VII,Spyker F8-VII
benetton-b193,benetton,B193,Benetton B193
tyrrell-011,tyrrell,9,Tyrrell 011
tyrrell-025,tyrrell,21,Tyrrell 025
red-bull-rb9,red-bull,RB9,Red Bull RB9
eagle-t1g,eagle,T1G,Eagle T1G
mercedes-f1-w15,mercedes,F1 W15,Mercedes F1 W15
kurtis-kraft,kurtis-kraft,Kurtis Kraft,Kurtis Kraft
brm-p115,brm,P115,BRM P115
march-751,march,751,March 751
williams-fw35,williams,FW35,Williams FW35
williams-fw08c,williams,FW08C,Williams FW08C
haas-vf-19,haas,VF-19,Haas VF-19
red-bull-rb3,red-bull,RB3,Red Bull RB3
dallara-f190,dallara,F190,Dallara F190
mercedes-f1-w08,mercedes,F1 W08,Mercedes F1 W08 EQ Power+
toyota-tf108,toyota,TF108,Toyota TF108
jaguar-r5b,jaguar,R5B,Jaguar R5B
kurtis-kraft-kk500,kurtis-kraft,KK500,Kurtis Kraft KK500
ats-wheels-d3,ats-wheels,D3,ATS D3
vanwall-vw-2,vanwall,VW 2,Vanwall VW 2
lotus-33,lotus,33,Lotus 33
ats-wheels-hs1,ats-wheels,HS1,ATS HS1
ferrari-641,ferrari,641,Ferrari 641
manor-mrt05,manor,MRT05,Manor MRT05
jaguar-r5,jaguar,R5,Jaguar R5
osella-fa1c,osella,FA1C,Osella FA1C
talbot-lago-t26c-gs,talbot-lago,T26C-GS,Talbot-Lago T26C-GS
lola-lc91,lola,LC91,Lola LC91
emw-r2,emw,R2,EMW R2
caterham-ct01,caterham,CT01,Caterham CT01
force-india-vjm04,force-india,VJM04,Force India VJM04
renault-r25,renault,R25,Renault R25
benetton-b188,benetton,B188,Benetton B188
alfa-romeo-184t,alfa-romeo,184T,Alfa Romeo 184T
kojima-ke007,kojima,KE007,Kojima KE007
minardi-ps04b,minardi,PS04B,Minardi PS04B
osella-fa1i,osella,FA1I,Osella FA1I
brabham-bt22,brabham,BT22,Brabham BT22
ags-jh25b,ags,JH25B,AGS JH25B
simca-gordini-t15,simca-gordini,T15,Simca-Gordini T15
mclaren-m28c,mclaren,M28C,McLaren M28C
red-bull-rb14,red-bull,RB14,Red Bull RB14
stevens,stevens,Stevens,Stevens
ferrari-312t,ferrari,312T,Ferrari 312T
kurtis-kraft-kk500c,kurtis-kraft,KK500C,Kurtis Kraft KK500C
deidt-tuffanelli-derrico,deidt,Tuffanelli Derrico,Deidt Tuffanelli Derrico
williams-fw28,williams,FW28,Williams FW28
mclaren-mp4-12,mclaren,MP4/12,McLaren MP4/12
minardi-ps01,minardi,PS01,Minardi PS01
ligier-js43,ligier,JS43,Ligier JS43
sauber-c34,sauber,C34,Sauber C34
williams-fw29,williams,FW29,Williams FW29
march-781s,march,781S,March 781S
fittipaldi-f6,fittipaldi,F6,Fittipaldi F6
ferrari-312-68,ferrari,312/68,Ferrari 312/68
wolf-wr4,wolf,WR4,Wolf WR4
toyota-tf104,toyota,TF104,Toyota TF104
honda-ra300,honda,RA300,Honda RA300
benetton-b191,benetton,B191,Benetton B191
mclaren-m7d,mclaren,M7D,McLaren M7D
ligier-js29b,ligier,JS29B,Ligier JS29B
kurtis-kraft-kk500h,kurtis-kraft,KK500H,Kurtis Kraft KK500H
lotus-72d,lotus,72D,Lotus 72D
derrington-francis-df,derrington-francis,DF,Derrington-Francis DF
cooper-t59,cooper,T59,Cooper T59
stewart-sf01,stewart,SF01,Stewart SF01
merzario-a1,merzario,A1,Merzario A1
ferrari-f2003-ga,ferrari,F2003-GA,Ferrari F2003-GA
arrows-a20,arrows,A20,Arrows A20
tyrrell-021,tyrrell,17,Tyrrell 021
march-cg911b,march,CG911B,March CG911B
lotus-107,lotus,107,Lotus 107
bar-002,bar,2,BAR 002
alfa-romeo-c41,alfa-romeo,C41,Alfa Romeo C41
cooper-t53,cooper,T53,Cooper T53
alta-f2,alta,F2,Alta F2
hall,hall,Hall,Hall
brabham-bt60y,brabham,BT60Y,Brabham BT60Y
sauber-c18,sauber,C18,Sauber C18
mclaren-mp4-14,mclaren,MP4/14,McLaren MP4/14
ensign-n180,ensign,N180,Ensign N180
mercedes-f1-w16,mercedes,F1 W16,Mercedes F1 W16
mercedes-f1-w13,mercedes,F1 W13,Mercedes F1 W13
renault-re20,renault,RE20,Renault RE20
alfa-romeo-183t,alfa-romeo,183T,Alfa Romeo 183T
apollon-fly,apollon,Fly,Apollon Fly
moore,moore,Moore,Moore
lotus-f1-e22,lotus-f1,E22,Lotus E22
marussia-mr01,marussia,MR01,Marussia MR01
mclaren-mp4-5,mclaren,MP4/5,McLaren MP4/5
minardi-ps03,minardi,PS03,Minardi PS03
tyrrell-010,tyrrell,8,Tyrrell 010
brp-mk-1,brp,Mk 1,BRP Mk 1
sauber-c36,sauber,C36,Sauber C36
marussia-mr02,marussia,MR02,Marussia MR02
afm-6,afm,6,AFM 6
shadow-dn9,shadow,DN9,Shadow DN9
mclaren-mp4-6b,mclaren,MP4/6B,McLaren MP4/6B
tyrrell-002,tyrrell,2,Tyrrell 002
williams-fw10b,williams,FW10B,Williams FW10B
renault-re50,renault,RE50,Renault RE50
williams-fw10,williams,FW10,Williams FW10
cooper-t73,cooper,T73,Cooper T73
sutton,sutton,Sutton,Sutton
red-bull-rb6,red-bull,RB6,Red Bull RB6
lotus-81,lotus,81,Lotus 81
eurobrun-er188,eurobrun,ER188,EuroBrun ER188
bar-003,bar,3,BAR 003
ram-01,ram,1,RAM 01
renault-re40,renault,RE40,Renault RE40
ferrari-312t4,ferrari,312T4,Ferrari 312T4
ferrari-f2008,ferrari,F2008,Ferrari F2008
ferrari-126c2b,ferrari,126C2B,Ferrari 126C2B
virgin-mvr-02,virgin,MVR-02,Virgin MVR-02
ferrari-643,ferrari,643,Ferrari 643
footwork-fa13b,footwork,FA13B,Footwork FA13B
toyota-tf107,toyota,TF107,Toyota TF107
eurobrun-er189b,eurobrun,ER189B,EuroBrun ER189B
minardi-m186,minardi,M186,Minardi M186
